"species_i","site_i","s_range_size","s_pd","s_nnd","s_mpd","s_vpd","s_spd","s_kpd","s_richness","r_success","r_range_size","r_n_pd","r_n_nnd","r_n_mpd","r_n_vpd","r_n_spd","r_n_kpd","r_n_richness","r_e_pd","r_e_nnd","r_e_mpd","r_e_vpd","r_e_spd","r_e_kpd","r_e_richness","r_ne_pd","r_ne_nnd","r_ne_mpd","r_ne_vpd","r_ne_spd","r_ne_kpd","r_ne_richness"
"Carduelis_cannabina","N",0.782273403075147,-0.635745332986413,-0.438247198789437,-1.11496546251038,1.67180948985451,0.970467505789286,-0.578163501074128,-0.590729018052843,0,1.96947439063257,-0.370918146623146,-0.470480593838171,-0.320801200822771,-0.404166074599939,-0.260258158834194,-0.223426637796432,-0.437558408327175,-1.45574540469112,-0.639009278455148,-0.753928845144462,1.39645207034626,0.441000897370099,-0.572286727379661,-1.48711022780928,-0.702495811828916,-0.656587789118566,-0.430414587516255,0.126636997813208,0.0480936415038573,-0.279950029276562,-0.78081386240149
"Carduelis_flammea","N",3.65942800290531,-0.256551166650076,-0.321689176527198,-1.16616739991535,1.87642427224766,0.962947270295517,-0.581997276094524,-0.164176799164615,1,1.96947439063257,-0.370918146623136,-0.470480593837681,-0.320801200821495,-0.404166074599939,-0.260258158834194,-0.223426637796432,-0.437558408327175,-1.45574540469112,-0.416894525133562,-0.743787035120839,1.36310408614957,0.456115323620713,-0.57949028821496,-1.48711022780928,-0.702495811828916,-0.37304919577032,-0.427073776898907,0.109643768780434,0.0665640546016254,-0.292183328626154,-0.78081386240149
"Carduelis_flavirostris","N",0.162419629323586,0.0152323338721841,-0.438247198789437,-1.3856758548221,1.37675985380523,1.13131529138768,-0.574777063531427,-0.0264791168536087,0,1.96947439063257,-0.370918146623141,-0.470480593837959,-0.320801200822231,-0.404166074599939,-0.260258158834194,-0.223426637796432,-0.437558408327175,-1.45574540469112,-0.639009278455148,-0.753928845143837,1.39645207034629,0.441000897370083,-0.57228672737965,-1.48711022780928,-0.702495811828916,-0.656587789118566,-0.430414587515603,0.126636997813229,0.0480936415038478,-0.279950029276542,-0.78081386240149
"Rhyticeros_undulatus","F",-0.429024179797694,0.15155609857667,0.386920482380665,0.114966430559316,-1.01931513685359,0.0766049546540142,0.253652211239397,0.0553112357972895,0,-0.206624803266896,0.99379256079668,1.07319084740058,-0.106170180102509,-0.853721007533749,1.32177471943376,-0.247601108478004,0.990464352961988,0.983612230034528,0.759613666619653,0.588938872791076,-1.57038491683516,-0.256149805232679,1.85125387824735,0.974697714856268,1.0185803064464,1.12881176917611,0.192789904208288,-1.59716669742879,0.943864233511897,1.30687635088035,1.02308586548204
"Acridotheres_cristatellus","F",-0.429024179797694,-0.124964576932925,-0.872278762818096,-1.39312632008935,1.19886487458735,1.16754350913456,-0.573292649407159,-0.184883217557247,0,-0.206624803266896,0.968628939753545,-0.759672941752914,-1.63352571524738,1.14656726690779,0.357280947192517,-0.896795767548939,0.990464352961988,0.983612230034528,-0.812504087943827,-0.715836678930196,-0.47685977714957,0.296858985083422,-0.263388782969216,0.974697714856268,1.0185803064464,-0.87806102986462,-1.47313363270783,0.177736387993628,1.0570895025911,-0.644362365800815,1.02308586548204
"Acridotheres_fuscus","F",-0.514254073688534,0.167146404736589,-0.772929985450055,-1.32532246218196,1.07997618844801,1.10744420498989,-0.576240572753534,0.0304635337261306,0,-0.206624803266896,0.968628939753545,-0.759672941752971,-1.63352571524753,1.14656726690779,0.357280947192517,-0.896795767548939,0.990464352961988,0.983612230034528,-0.812504087943827,-0.715836678930367,-0.47685977714957,0.296858985083431,-0.263388782969221,0.974697714856268,1.0185803064464,-0.87806102986462,-1.47313363270807,0.177736387993628,1.0570895025911,-0.644362365800817,1.02308586548204
"Acridotheres_tristis","H",-0.00158334831484719,0.42896978877679,-0.733185373723709,-1.36401363358833,1.12831495738452,1.13818097694793,-0.574705492600657,0.318282749383722,1,-0.8526542514558,-1.25990217858038,-0.75967294174472,-0.268949609521528,0.303101057691067,-0.244997232042006,-0.491759451124639,-1.2240057261386,-0.622597916233533,0.749149496621063,0.00297253345474473,-0.167315126805876,0.506683715237702,-0.576990740252986,-0.594101464293344,-1.11224465318255,0.648046073743365,-0.227554046225114,0.11177547353612,0.621933980632386,-0.58771586058115,-1.07394756818256
"Acridotheres_tristis","N",-0.00158334831484719,0.42896978877679,-0.733185373723709,-1.36401363358833,1.12831495738452,1.13818097694793,-0.574705492600657,0.318282749383722,1,1.96947439063257,-0.364031102629762,0.0311568107648717,-0.312640210444568,-0.43789008598101,-0.18589397794366,-0.297722461023889,-0.437558408327175,-1.45574540469112,-0.419046320246648,-0.295617087812667,0.369921730422328,0.630157061728119,-0.606354253098169,-1.48711022780928,-0.702495811828916,-0.3757960504948,-0.272695220348431,-0.422889950583668,0.430571097452012,-0.411069270252836,-0.78081386240149
"Acridotheres_tristis","F",-0.00158334831484719,0.42896978877679,-0.733185373723709,-1.36401363358833,1.12831495738452,1.13818097694793,-0.574705492600657,0.318282749383722,1,-0.206624803266896,0.968628939753519,-0.759672941753792,-1.63352571524964,1.14656726690779,0.357280947192516,-0.896795767548939,0.990464352961988,0.983612230034528,-0.720672455277771,-0.714752397517362,-0.480686627166145,0.307072341865232,-0.27111388680567,0.974697714856268,1.0185803064464,-0.760834184003968,-1.47271458490586,0.175727572139578,1.06040119345234,-0.646211381201749,1.02308586548204
"Agapornis_fischeri","F",-0.747990600874018,-0.438200654259721,-0.771227011124653,0.0451475342019399,-1.08894007465946,0.0501703321036997,0.726086825626139,-0.541033613910525,0,-0.206624803266896,0.996939680933383,1.30242027850901,-0.213973590026094,-0.827814151510602,1.40123924787303,-0.336202371202533,0.990464352961988,0.983612230034528,-0.81162129020887,-1.18598750726791,0.0131766726941121,0.678272301602414,-0.526836583685461,0.974697714856268,1.0185803064464,-0.87693410234523,-0.575167004790237,-0.514414132646674,0.0712948901496197,-0.210230387471111,1.02308586548204
