bl_name,new_name_phylo,new_name_db,notes
Diaphorapteryx_hawkinsi,NA,NA,extinct
Diopsittaca_cumanensis,NA,NA,former subspecies
Dryolimnas_augusti,NA,NA,extinct
Eclectus_infectus,NA,NA,extinct
Eupsittula_aurea,Aratinga_aurea,NA,
Eurostopodus_exul,NA,NA,former subspecies
Falco_duboisi,NA,NA,extinct
Falco_ruficollis,NA,NA,former subspecies
Fregilupus_varius,NA,NA,extinct
Fulica_newtonii,NA,NA,extinct
Gallirallus_lafresnayanus,NA,NA,extinct
Gelochelidon_macrotarsa,NA,NA,former subspecies
Geophaps_ferruginea,NA,NA,former subspecies
Geranoaetus_albicaudatus,Buteo_albicaudatus,NA,
Glaucidium_tucumanum,NA,NA,former subspecies
Guttera_edouardi,NA,NA,former subspecies
Hapalocrex_flaviventer,Porzana_flaviventer,NA,
Heterotetrax_rueppelii,Eupodotis_rueppellii,NA,
Heterotetrax_vigorsii,Eupodotis_vigorsii,NA,
Hydrobates_hornbyi,Oceanodroma_hornbyi,NA,
Hydrobates_markhami,Oceanodroma_markhami,NA,
Hydrobates_matsudairae,Oceanodroma_matsudairae,NA,
Hydrobates_tethys,Oceanodroma_tethys,NA,
Hylatomus_galeatus,Dryocopus_galeatus,NA,
Hylatomus_lineatus,Dryocopus_lineatus,NA,
Hylatomus_schulzii,Dryocopus_schulzi,NA,
Icterus_pyrrhopterus,NA,NA,former subspecies
Ixobrychus_dubius,NA,NA,former subspecies
Leptoptilos_crumenifer,Leptoptilos_crumeniferus,NA,
Lophoceros_alboterminatus,Tockus_alboterminatus,NA,
Lophoceros_bradfieldi,Tockus_bradfieldi,NA,
Lophoceros_nasutus,Tockus_nasutus,NA,
Lophopsittacus_bensoni,NA,NA,extinct
Lophopsittacus_mauritianus,NA,NA,extinct
Mareca_sibilatrix,Anas_sibilatrix,NA,
Mascarenotus_grucheti,NA,NA,extinct
Mascarenotus_sauzieri,NA,NA,extinct
Mascarinus_mascarin,NA,NA,extinct
Megaloprepia_magnifica,Ptilinopus_magnificus,NA,
Mentocrex_beankaensis,NA,NA,former subspecies
Mentocrex_kioloides,Canirallus_kioloides,NA,
Myiopsitta_luchsi,NA,NA,former subspecies
Nesoenas_cicur,NA,NA,extinct
Nesoenas_picturatus,Nesoenas_picturata,NA,
Nycticorax_duboisi,NA,NA,extinct
Nycticorax_mauritianus,NA,NA,extinct
Ortalis_araucuan,NA,NA,former subspecies
Ortalis_squamata,NA,NA,former subspecies
Oxyura_ferruginea,NA,NA,former subspecies
Parabuteo_leucorrhous,Buteo_leucorrhous,NA,
Patagioenas_albilinea,NA,NA,former subspecies
Patagioenas_albipennis,NA,NA,former subspecies
Peltohyas_australis,Charadrius_australis,NA,
Phalacrocorax_bougainvilliorum,Phalacrocorax_bougainvillii,NA,
Phalcoboenus_chimango,Milvago_chimango,NA,
Pionus_reichenowi,NA,NA,former subspecies
Pipile_grayi,NA,NA,former subspecies
Podiceps_juninensis,NA,NA,former subspecies
Porphyrio_caerulescens,NA,NA,extinct
Porphyrio_kukwiedei,NA,NA,extinct
Psephotellus_pulcherrimus,NA,NA,extinct
Psephotellus_varius,Psephotus_varius,NA,
Pseudasthenes_humicola,Asthenes_humicola,NA,
Pseudasthenes_steinbachi,Asthenes_steinbachi,NA,
Pseudastur_albicollis,Leucopternis_albicollis,NA,
Pseudocolopteryx_citreola,NA,NA,former subspecies
Psittacara_acuticaudatus,Aratinga_acuticaudata,NA,
Psittacara_mitratus,Aratinga_mitrata,NA,
Ptilinopus_greyi,Ptilinopus_greyii,NA,
Puffinus_bailloni,NA,NA,former subspecies
Radjah_radjah,Tadorna_radjah,NA,
Ramphastos_ariel,NA,NA,former subspecies
Ramphastos_culminatus,NA,NA,former subspecies
Raphus_cucullatus,NA,NA,extinct
Rhea_tarapacensis,NA,NA,former subspecies
Sappho_sparganurus,Sappho_sparganura,NA,
Sarkidiornis_sylvicola,NA,NA,former subspecies
Smutsornis_africanus,Rhinoptilus_africanus,NA,
Spatula_cyanoptera,Anas_cyanoptera,NA,
Spatula_hottentota,Anas_hottentota,NA,
Spatula_platalea,Anas_platalea,NA,
Spatula_puna,Anas_puna,NA,
Spatula_smithii,Anas_smithii,NA,
Spatula_versicolor,Anas_versicolor,NA,
Stephanoxis_loddigesii,NA,NA,former subspecies
Synoicus_adansonii,NA,NA,former subspecies
Synoicus_chinensis,Coturnix_chinensis,NA,
Systellura_decussata,NA,NA,former subspecies
Thamnolaea_cinnamomeiventris,Myrmecocichla_cinnamomeiventris,NA,
Threskiornis_moluccus,Threskiornis_molucca,NA,
Threskiornis_solitarius,NA,NA,extinct
Tockus_damarensis,NA,NA,former subspecies
Treron_delalandii,NA,NA,former subspecies
Trichoglossus_moluccanus,NA,NA,former subspecies
Trogon_aurantius,NA,NA,former subspecies
Turnix_nanus,NA,NA,former subspecies
Turnix_novaecaledoniae,Turnix_varius,NA,
Upupa_marginata,NA,NA,former subspecies
Zanda_funerea,Calyptorhynchus_funereus,NA,
Zapornia_olivieri,Amaurornis_olivieri,NA,
Zentrygon_frenata,Geotrygon_frenata,NA,
